wave,year,happening,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,fund_research,discuss_GW,gender,age_category,generation,educ_category,income_category,race,party,party_x_ideo,registered_voter,region9,region4,religion,house_size,house_ages18plus,house_own
Oct 2015,2015,Don't know,Neither because global warming isn't happening,Most scientists think global warming is not happening,Not at all worried,Don't know,Don't know,Don't know,Don't know,Not at all,Never,Somewhat oppose,Somewhat support,Never,Female,35-54 years,Generation X (1965 - 1980),High school,"$50,000 to $99,999","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Other Christian,3.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,A moderate amount,A moderate amount,A moderate amount,A great deal,A moderate amount,They are being harmed now,Somewhat support,Somewhat support,Occasionally,Male,55+ years,Baby Boomers (1946 - 1964),Some college,"$100,000 or more",Hispanic,Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Catholic,5.0,5.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,Only a little,Only a little,A moderate amount,A moderate amount,Not at all,In 25 years,Somewhat oppose,Somewhat support,Never,Male,18-34 years,Millennials (1981 - 1996),Bachelor's degree or higher,"$100,000 or more","Other, Non-Hispanic",Republican,Liberal/Moderate Republican,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),3.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Very worried,A great deal,A great deal,A great deal,A great deal,A moderate amount,They are being harmed now,Somewhat support,Strongly support,Occasionally,Male,35-54 years,Generation X (1965 - 1980),Less than high school,"Less than $50,000","Black, Non-Hispanic",Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Baptist - any denomination,5.0,2.0,Rented
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,Not at all,Only a little,Only a little,A moderate amount,A moderate amount,In 100 years,Somewhat support,Strongly support,Rarely,Female,18-34 years,Millennials (1981 - 1996),Less than high school,"$50,000 to $99,999",Hispanic,Democrat,Moderate/Conservative Democrat,Refused,Pacific,West,Other Christian,5.0,4.0,Rented
Oct 2015,2015,Don't know,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,A moderate amount,A moderate amount,A moderate amount,A great deal,A moderate amount,They are being harmed now,Somewhat support,Somewhat support,Rarely,Female,35-54 years,Generation X (1965 - 1980),Less than high school,"Less than $50,000","Other, Non-Hispanic",Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),2.0,2.0,Rented
Oct 2015,2015,No,Neither because global warming isn't happening,Most scientists think global warming is not happening,Not at all worried,Not at all,Not at all,Not at all,Not at all,Don't know,Never,Strongly oppose,Somewhat oppose,Never,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Catholic,4.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Somewhat worried,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,They are being harmed now,Somewhat support,Somewhat support,Occasionally,Female,55+ years,Silent (1928 - 1945),High school,"Less than $50,000","White, Non-Hispanic",Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Other Christian,2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,18-34 years,Millennials (1981 - 1996),Bachelor's degree or higher,"$50,000 to $99,999","Black, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),2.0,2.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,Only a little,A moderate amount,A moderate amount,A great deal,A great deal,In 50 years,Strongly support,Strongly support,Rarely,Female,35-54 years,Generation X (1965 - 1980),High school,"$50,000 to $99,999",Hispanic,No party/not interested in politics,No Party/Not Interested in politics,Not registered,Pacific,West,Agnostic (Apr 2014 on),4.0,2.0,Rented
Oct 2015,2015,Don't know,Caused by human activities and natural changes,Most scientists think global warming is not happening,Not at all worried,Don't know,Don't know,Don't know,Don't know,Not at all,They are being harmed now,Somewhat oppose,Somewhat oppose,Never,Female,18-34 years,Millennials (1981 - 1996),High school,"Less than $50,000","White, Non-Hispanic",No party/not interested in politics,No Party/Not Interested in politics,Don't know,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),6.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused by human activities and natural changes,Most scientists think global warming is happening,Not very worried,Only a little,Not at all,Not at all,Not at all,A great deal,In 100 years,Strongly support,Somewhat support,Never,Male,55+ years,Baby Boomers (1946 - 1964),High school,"Less than $50,000","Other, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,Catholic,1.0,1.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A moderate amount,A moderate amount,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Often,Female,55+ years,Baby Boomers (1946 - 1964),Less than high school,"$50,000 to $99,999","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),2.0,2.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,Don't know,Don't know,Don't know,Don't know,A moderate amount,They are being harmed now,Somewhat support,Somewhat support,Rarely,Female,18-34 years,Millennials (1981 - 1996),High school,"Less than $50,000","White, Non-Hispanic",Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),6.0,4.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Very worried,Only a little,A moderate amount,A moderate amount,A great deal,A moderate amount,In 10 years,Somewhat support,Somewhat support,Occasionally,Female,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A moderate amount,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Male,55+ years,Baby Boomers (1946 - 1964),Less than high school,"Less than $50,000",Hispanic,Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Baptist - any denomination,3.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,Only a little,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Male,55+ years,Silent (1928 - 1945),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,Other Christian,2.0,2.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,Don't know,Only a little,Don't know,A great deal,A great deal,In 50 years,Strongly support,Strongly support,Rarely,Male,18-34 years,iGen‎/Gen Z (1997 - ),Some college,"$50,000 to $99,999",Hispanic,Democrat,Moderate/Conservative Democrat,Not registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),4.0,4.0,Occupied without payment of rent
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,18-34 years,Millennials (1981 - 1996),Some college,"$50,000 to $99,999","Other, Non-Hispanic",Republican,Conservative Republican,Prefer not to answer,Pacific,West,Catholic,3.0,3.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,A moderate amount,A moderate amount,A great deal,A great deal,A moderate amount,In 25 years,Somewhat support,Somewhat support,Rarely,Male,35-54 years,Baby Boomers (1946 - 1964),Less than high school,"$100,000 or more",Hispanic,Democrat,Moderate/Conservative Democrat,Not registered,Pacific,West,Catholic,7.0,6.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,A moderate amount,A moderate amount,A great deal,A moderate amount,Don't know,They are being harmed now,Strongly oppose,Strongly oppose,Occasionally,Female,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"Less than $50,000","Other, Non-Hispanic",Other; Please specify:,Independent (Non-Leaning),Registered,Pacific,West,Refused,1.0,1.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A moderate amount,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",1.0,1.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Rarely,Female,35-54 years,Generation X (1965 - 1980),Some college,"$50,000 to $99,999","Other, Non-Hispanic",Independent,Independent (Non-Leaning),Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),6.0,2.0,Owned by you or someone in your household
Oct 2015,2015,No,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Not at all,Not at all,Not at all,Not at all,Don't know,Never,Strongly oppose,Strongly oppose,Often,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more",Hispanic,Democrat,Moderate/Conservative Democrat,Don't know,Pacific,West,Catholic,4.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Very worried,A great deal,A great deal,A great deal,A great deal,A moderate amount,In 25 years,Somewhat support,Strongly support,Rarely,Male,18-34 years,Millennials (1981 - 1996),High school,"$50,000 to $99,999","Other, Non-Hispanic",Democrat,Liberal Democrat,Don't know,Pacific,West,Baptist - any denomination,4.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is happening,Not very worried,A moderate amount,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Male,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","Black, Non-Hispanic",Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Baptist - any denomination,3.0,1.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Very worried,A moderate amount,A moderate amount,A great deal,A great deal,A moderate amount,In 50 years,Somewhat support,Strongly support,Occasionally,Male,55+ years,Silent (1928 - 1945),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Independent,Liberal Democrat,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",3.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A moderate amount,A great deal,A great deal,A great deal,A great deal,In 10 years,Strongly support,Strongly support,Occasionally,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$50,000 to $99,999","Other, Non-Hispanic",Republican,Liberal/Moderate Republican,Registered,Pacific,West,Buddhist,5.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"Less than $50,000",Hispanic,Republican,Conservative Republican,Prefer not to answer,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),6.0,4.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,Only a little,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Often,Female,18-34 years,Millennials (1981 - 1996),High school,"Less than $50,000","Other, Non-Hispanic",Independent,Independent (Non-Leaning),Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),3.0,1.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Very worried,A great deal,A great deal,A great deal,A great deal,A moderate amount,In 10 years,Somewhat support,Somewhat support,Occasionally,Female,35-54 years,Generation X (1965 - 1980),High school,"$50,000 to $99,999",Hispanic,Democrat,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),3.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,Not at all,Not at all,Only a little,Only a little,A moderate amount,Never,Somewhat support,Somewhat support,Occasionally,Male,35-54 years,Baby Boomers (1946 - 1964),Some college,"Less than $50,000","White, Non-Hispanic",Other; Please specify:,Conservative Republican,Registered,Pacific,West,Pentecostal,1.0,1.0,Occupied without payment of rent
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Somewhat worried,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,In 100 years,Somewhat support,Somewhat support,Rarely,Male,18-34 years,Millennials (1981 - 1996),Some college,"$50,000 to $99,999",Hispanic,No party/not interested in politics,No Party/Not Interested in politics,Registered,Pacific,West,Catholic,4.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,A moderate amount,A moderate amount,Don't know,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,35-54 years,Generation X (1965 - 1980),Less than high school,"Less than $50,000",Hispanic,Independent,Independent (Non-Leaning),Registered,Pacific,West,Catholic,1.0,1.0,Rented
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,In 10 years,Somewhat support,Somewhat support,Never,Female,18-34 years,Millennials (1981 - 1996),Less than high school,"Less than $50,000",Hispanic,No party/not interested in politics,No Party/Not Interested in politics,Don't know,Pacific,West,Catholic,7.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,Not at all,Not at all,Not at all,Not at all,Don't know,Never,Strongly oppose,Somewhat support,Occasionally,Male,35-54 years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"Less than $50,000","Other, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Pentecostal,2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Somewhat worried,A great deal,A great deal,A great deal,A great deal,Not at all,They are being harmed now,Somewhat oppose,Somewhat oppose,Rarely,Male,35-54 years,Generation X (1965 - 1980),Some college,"$50,000 to $99,999",Hispanic,Republican,Conservative Republican,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",4.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,Don't know,Don't know,Don't know,Don't know,A great deal,They are being harmed now,Strongly support,Strongly support,Rarely,Female,35-54 years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$100,000 or more","Other, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,Baptist - any denomination,4.0,4.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Not very worried,Only a little,A moderate amount,Only a little,A great deal,A moderate amount,In 25 years,Somewhat support,Somewhat oppose,Occasionally,Female,55+ years,Baby Boomers (1946 - 1964),Some college,"Less than $50,000","Other, Non-Hispanic",Independent,Independent (Non-Leaning),Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",1.0,1.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,Only a little,Only a little,A moderate amount,A moderate amount,A moderate amount,In 50 years,Somewhat support,Somewhat support,Rarely,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","Other, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",4.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Somewhat worried,A great deal,A great deal,A great deal,A great deal,A moderate amount,In 50 years,Somewhat support,Somewhat support,Occasionally,Male,35-54 years,Generation X (1965 - 1980),Some college,"$100,000 or more","White, Non-Hispanic",Other; Please specify:,Independent (Non-Leaning),Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,A moderate amount,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,35-54 years,Generation X (1965 - 1980),Some college,"$100,000 or more","White, Non-Hispanic",Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Catholic,3.0,3.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,A moderate amount,A moderate amount,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Often,Female,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","Black, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",1.0,1.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Not at all,Not at all,Don't know,Not at all,Not at all,Never,Somewhat oppose,Somewhat oppose,Occasionally,Male,55+ years,Silent (1928 - 1945),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Atheist (Apr 2014 on),2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Somewhat support,Occasionally,Female,35-54 years,Generation X (1965 - 1980),Some college,"Less than $50,000",Hispanic,Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Catholic,6.0,3.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,In 10 years,Strongly support,Strongly support,Often,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Independent,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),1.0,1.0,Rented
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Somewhat worried,A moderate amount,Only a little,Only a little,Only a little,Not at all,In 25 years,Somewhat oppose,Somewhat oppose,Rarely,Male,35-54 years,Generation X (1965 - 1980),High school,"Less than $50,000","Black, Non-Hispanic",No party/not interested in politics,No Party/Not Interested in politics,Registered,Pacific,West,Other - non-Christian (Please specify),1.0,1.0,Rented
Oct 2015,2015,No,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,Only a little,Only a little,Only a little,Only a little,Don't know,In 100 years,Strongly oppose,Somewhat support,Never,Male,18-34 years,Millennials (1981 - 1996),Bachelor's degree or higher,"$100,000 or more",Hispanic,Independent,Conservative Republican,Registered,Pacific,West,Catholic,5.0,4.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,In 25 years,Strongly support,Strongly support,Rarely,Male,35-54 years,Generation X (1965 - 1980),Some college,"Less than $50,000","Other, Non-Hispanic",Independent,Liberal Democrat,Registered,Pacific,West,Catholic,1.0,1.0,Owned by you or someone in your household
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not very worried,Only a little,Only a little,A moderate amount,A great deal,A moderate amount,They are being harmed now,Somewhat support,Strongly support,Rarely,Female,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"Less than $50,000","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Baptist - any denomination,3.0,3.0,Occupied without payment of rent
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,A moderate amount,A great deal,Only a little,A moderate amount,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,55+ years,Silent (1928 - 1945),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,Only a little,A moderate amount,A moderate amount,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,35-54 years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$100,000 or more","Other, Non-Hispanic",Other; Please specify:,Moderate/Conservative Democrat,Registered,Pacific,West,Agnostic (Apr 2014 on),3.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Not very worried,Only a little,Only a little,Only a little,A moderate amount,A moderate amount,In 100 years,Somewhat support,Somewhat support,Rarely,Male,35-54 years,Baby Boomers (1946 - 1964),High school,"Less than $50,000","White, Non-Hispanic",No party/not interested in politics,No Party/Not Interested in politics,Registered,Pacific,West,Catholic,1.0,1.0,Rented
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Only a little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,In 25 years,Somewhat support,Somewhat support,Often,Female,18-34 years,Millennials (1981 - 1996),Less than high school,"$50,000 to $99,999",Hispanic,Democrat,Moderate/Conservative Democrat,Don't know,Pacific,West,Mormon,5.0,1.0,Rented
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Very worried,A moderate amount,A great deal,A great deal,A great deal,A moderate amount,They are being harmed now,Somewhat support,Somewhat support,Often,Male,18-34 years,Millennials (1981 - 1996),Bachelor's degree or higher,"Less than $50,000","White, Non-Hispanic",Independent,Moderate/Conservative Democrat,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,In 10 years,Strongly support,Strongly support,Rarely,Female,55+ years,Baby Boomers (1946 - 1964),Some college,"$50,000 to $99,999","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Other Christian,2.0,2.0,Rented
Oct 2015,2015,No,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Refused,Refused,Refused,Refused,Don't know,Refused,Strongly oppose,Strongly oppose,Occasionally,Male,35-54 years,Generation X (1965 - 1980),High school,"Less than $50,000","White, Non-Hispanic",Other; Please specify:,Independent (Non-Leaning),Registered,Pacific,West,Other Christian,2.0,2.0,Rented
Oct 2015,2015,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Not at all,Not at all,Not at all,Not at all,Don't know,Never,Strongly oppose,Strongly oppose,Occasionally,Male,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Baptist - any denomination,2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Not very worried,Only a little,Only a little,A moderate amount,A moderate amount,A moderate amount,They are being harmed now,Somewhat support,Strongly support,Never,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Independent,Conservative Republican,Registered,Pacific,West,Mormon,5.0,3.0,Owned by you or someone in your household
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Not at all,Don't know,Don't know,Don't know,Don't know,Never,Strongly oppose,Strongly oppose,Rarely,Female,55+ years,Silent (1928 - 1945),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Independent,Conservative Republican,Registered,Pacific,West,Catholic,1.0,1.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused by human activities and natural changes,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Female,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),1.0,1.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A moderate amount,A great deal,A great deal,A great deal,A great deal,They are being harmed now,Strongly support,Strongly support,Occasionally,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,Agnostic (Apr 2014 on),4.0,2.0,Owned by you or someone in your household
Oct 2015,2015,No,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Not at all worried,Not at all,Not at all,Not at all,Not at all,Don't know,Never,Strongly oppose,Strongly oppose,Often,Female,35-54 years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Republican,Liberal/Moderate Republican,Registered,Pacific,West,Atheist (Apr 2014 on),2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Don't know,Caused mostly by natural changes in the environment,Most scientists think global warming is not happening,Somewhat worried,Only a little,Only a little,A moderate amount,A moderate amount,A moderate amount,In 25 years,Somewhat support,Somewhat support,Never,Female,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Agnostic (Apr 2014 on),2.0,2.0,Owned by you or someone in your household
Oct 2015,2015,Yes,Caused mostly by human activities,Most scientists think global warming is not happening,Somewhat worried,Only a little,A great deal,A great deal,A great deal,A moderate amount,They are being harmed now,Somewhat support,Somewhat support,Occasionally,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,Atheist (Apr 2014 on),4.0,2.0,Owned by you or someone in your household
